,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
0,SKILLSFUTURE SINGAPORE AGENCY,"Executive, (Quality Management Division) (6-month Temporary Contract)","ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989",Contract,NONE,Public / Civil Service,NONE,"Roles & ResponsibilitiesResponsibilities

Organise, track and maintain data for analytics 
Develop SOPs and user guides to support CRM and operations
Identify trends and suggest improvement on processes and content to drive operation efficiency 
Facilitate the capability building of OCCs and outsourced-vendor periodically to ensure currency in their competencies to support operational needs 
Provide secretariat duties for meetings and other engagements  
Provide administrative support on workforce development initiatives and any other ad-hoc duties as and when assigned
Support Processing Officers for course approval cases in SkillsConnect
Conduct Desktop checks on mystery audit cases
Support data extraction for CET capacity
Maintenance of ATO Master List
Tagging of courses for Training Exchange

Requirements

Proficient in Microsoft software (Word, Excel, Access, Powerpoint)
Positive learning attitude
Tertiary qualification
Candidates without the required qualifications but with relevant experience are welcome to apply

 ",NONE
1,HP PPS ASIA PACIFIC PTE. LTD.,Business Analyst,1 DEPOT CLOSE 109841,"Permanent, Full Time",Professional,Others,"$8,400to$12,900","Roles & ResponsibilitiesHP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives. We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.  At HP, the future is yours to create! If you are our Business Analyst in Singapore, you will have a chance to   Provide Analysis to support business/team's needs by ensuring data integrity & accuracy Be the interface to Sales Operations Be the interface to External Analyst: Canalys & IDC. Establish & enable quarterly published reports Drive regular & scheduled review of analysis with team & cross team members Update Market share quarterly & provide Insights (Small and Medium Business = SMB segment with PC & Print) Support team during budgeting process Key Analytics includes: Volume / Value /Small and Medium Business Channel Capacity & Polarity Insights, Quarterly (PC/Print/Growth Initiatives/Small and Medium Business) Power BI Partner performance/Business insights Business/IT trends and market insights Competitive channel analysis & insights (Small and Medium Business & channel indirect) Retention/Acquisition/Development (RAD) profiling & analysis Sales attainment/productivity analysis Partner program performance reporting and analysis Quarterly Asia Pacific Headquarter Commercial Channel Team's Spent Reports/Analysis. Ensure spent to budget ","RequirementsEducation and Experience Required:   Prior experience in either finance or sales operation with category experience a strong plus Must possess strong analytical skills, with keen eye for details Possess business flair, with good understanding of IT PC & Print & concepts of sell-in, sell- through & sell-out; channel landscape, etc Must have strong excel, pivot skills and excellence in dealing with numbers (for data accuracy & integrity) Strong organizational skills Strong collaborative skills with cross team members Multinational company experience a plus    HP is a Human Capital Partner – we commit to human capital development and adopting progressive workplace practices in Singapore. "
2,SHOPEE SINGAPORE PRIVATE LIMITED,Software Engineer,"GALAXIS, 1 FUSIONOPOLIS PLACE 138522","Permanent, Full Time",Executive,Information Technology,"$4,400to$8,000","Roles & ResponsibilitiesResponsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds       ","RequirementsRequirements:   Minimum B.S. degree in Computer Science or a related technical field Excellent communication skills with the ability to identify and communicate data driven insights 2+ years of Python development and Unix/linux system experience 2+ years of SQL (Mysql, Mssql, Hive, etc) experience You must also possess at least 2 of the additional requirements as below 2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix 2+ years of working experience with distributed databases or distributed systems 2+ years of working experience with dimensional data modelling & schema design in Data Warehouses 2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)       "
3,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,Data Analytics –Manager,"MARINA ONE EAST TOWER, 7 STRAITS VIEW 018936","Permanent, Contract, Full Time",Manager,Consulting ,"$6,200to$9,500","Roles & Responsibilities Advisory - Consulting  PwC Consulting is a regional practice within South East Asia which helps organizations work smarter and grow faster. Our work is always evolving to respond to industry trends and management focus, and we combine our deep technical skills in response to our clients' changing needs. Over time, what we do remains closely linked with helping our clients improve the way they operate; innovate and grow; reduce costs; manage risks; leverage talent; and change the way they do business.  Our aim is to support our clients in designing, managing and executing lasting beneficial change.     Responsibilities   Proven ability to sift through data, identify critical information, analyze, develop hypothesis and make recommendations to broader audience.  Prior experience synthesizing and packaging complex analyses and delivering results to non-technical audiences including senior leadership teams.  Demonstrated ability to use data to influence decision making. Strong project management capabilities to manage multiple project streams and complexity; propensity for thinking through projects in a process-oriented way.  Demonstrates proven intimate knowledge of advanced analytic methods and visualization techniques, applying quantitative methodologies to complex business problems across multiple industry issues or functional domains.  Lead and manage analytics engagements, including engagements in the area of business process enhancement analytics, predictive analytics, etc.  Support senior members in resolving client issues and to achieve predefined business growth targets. Support team in developing proposals and sales materials. ","Requirements  A good Degree in a quantitative discipline (Statistics, Decisions Sciences, Computer Science, Economics etc).   Minimum 5-6 years of relevant working experience of hands-on analytics.  Strong technical and analytical skill sets. Knowledge of SAS/R, SQL and predictive modelling skills required.  Good presentation skills, both oral and written.  Ability to multi-task and prioritise workload with good working knowledge of Microsoft Office Suite.  Good client management skills, authoritative and credible in a client conversation - both in terms of personal style and subject matter expertise.  Must have the capability to work on several projects in parallel, and be able to switch from one to another with confidence.  Ability to lead teams under pressure with demonstrated experience in project management "
4,Company Undisclosed,Research Fellow,NONE,"Contract, Full Time","Professional, Executive",Others,"$4,000to$5,000","Roles & ResponsibilitiesData Scientist / Programmer for Regional ATM Modernisation Programme Under the Air Traffic Management Research Institute (ATMRI) (http://atmri.ntu.edu.sg/), Nanyang Technological University, you will be part of ‘Regional ATM Modernisation Programme’ team to perform programming and data analytics for the ASEAN air routes and ATM operations in the region. Primary Duties or Responsibilities Specifically, you will  Undertake research and development related to Air-space management & Data Analytics. Perform programming support for fast time and real-time simulation tools, doing analytics, and building high quality strategic planning system for future for Air Traffic Management (ATM) eco-system for the region. You will provide expertise on mathematical concepts for the broader applied analytics of flow management and inspire the adoption of advanced analytics and data science across the entire breadth of regional ATM system. Conduct stakeholder meetings to solicit input for development of systems. Interact with senior personnel such as project lead and ATC operations specialist on significant technical matters and coordinate with other specialist teams within programme. Represent the Institute at regional/global ATM platforms, international forum/conferences. Occasional overseas travel may be required. ",Requirements Doctorate degree in a relevant field. At least 3 years’ experience in any aviation-related fast-time simulation environment. Knowledge of tools like SAAM and AirTop will be an added advantage. Strong programming skills. Experience in Data Science (knowledge in Aviation / Air Traffic Management Good English writing and communication skills Independent and team player 
5,Republic Polytechnic,Office of Student and Graduate Affairs - Administration (Procurement) – Senior Executive / Executive,9 WOODLANDS AVENUE 9 738964,Full Time,NONE,"Education and Training, Public / Civil Service",NONE,"Roles & ResponsibilitiesJob Responsibilities The successful job applicant will contribute to the overall procurement, web functions and administrative support of OSG at Republic Polytechnic.• Process purchase requests in GEBIZ Portal and attend to procurement issues so that purchases comply with RP’s and Government IM Guidelines• Monitor Purchase Orders (POs) for department and liaise with requestors to close all Open POs by end of the government financial period• Monitor Period Contracts to ensure utilisation, timely renewal or work with staff to raise new quotation/tender• Identify potential procurement lapses and conduct training/clinic sessions for department on procurement• Support department’s web functions (when needed)• Provide administrative support for the team (e.g. minute taking, department meetings, retreat etc.)• Assist and support in OSG wide events and any other assigned administrative duties Requirements • Relevant academic qualifications with at least 3 years of related working experience (those with prior working experience in government sectors would be an advantage)• Those who are familiar with data analytics would be preferred• Must be proficient in Microsoft Office (e.g. Microsoft Excel, Word and PowerPoint)• Must be matured and able to multi-task under pressure and detail-oriented with good communication and writing skills• Excellent team player and able to work with minimum supervision ",NONE
6,"JPMORGAN CHASE BANK, N.A.","Application Support Analyst, Reference Data Team",NONE,Full Time,Executive,Information Technology,"$6,000to$12,000","Roles & ResponsibilitiesWe are seeking an Application Support Analyst who can ensure a smooth and effective operation of applications and 24/7 availability of the systems through careful monitoring of infrastructure, production processes, automating procedures where possible via scripting, and performing Permit to Operate on each application release. Analysis of existing system and user needs and support of newly developed systems. L2 Support is responsible for day to day support of CT environments infrastructure including the production and DR environments. Works with the development and other support teams to provide design guidelines and imparts knowledge on technical trends and solutions. The candidate will Instrument end to end monitoring of the CT infrastructure, ensuring high availability of the environment and timely alerting of any potential issues.  Ensures infrastructures have adequate capacity and are refreshed on a periodic basis. Develops and maintains system documentation, run-books and production metrics reporting.  Work effectively within the CT team to identify and resolve issues. Communicate effectively with both technical and non-technical individuals at all levels. .   Key responsibilities  Provide Level  2 support to internal business users Prioritize workload, provide timely and accurate resolutions Perform in-depth research and identify sources of production issues Effectively perform and document root cause analysis of issues Identify efficiencies and ways to improve processes Juggle an array of tasks while demonstrating strong organization Perform daily health checks of the application, job schedules and infrastructure supporting the application Develop scripts to automate repeatable manual tasks Participate in Disaster Recovery events and Major Event Changes Partake in audit support activities, as they pertain to Information Security, for both internal and external audits.  Perform audit support tasks as assigned Manage the application risk to ensure the security and resiliency of the application are in compliance with firm and regulatory requirements Ensure infrastructure has adequate capacity and are refreshed on a periodic basis Maintain system documentation and provide production metrics reporting. Act as first point of contact to diagnose and resolve issues raised by the business as part of the global operate team. Liaise with colleagues and other teams within the technology group to drive enhancements to technology requested by the business. Understand the batch flow and application flow end to end and be able to support the batches, drive improvements and automate manual procedures. ","RequirementsQualifications  7-10 years Production support experience in Unix, Oracle and PL/SQLwith ability to manage/drive high priority Production incidents. Experience with escalated ticket management.  Able to work under pressure to resolve issues affecting production services. Excellent analytical, problem-solving and multi-tasking skills. Experience with creating process, procedures, and documentation relating to incident management or systems operations. Able to work weekend on call rotations as required. Ability to coordinate tasks with multiple teams in multiple locations and time zones. Able to adapt to new technologies. Experience of communicating problems and issues concisely to senior business and technology leads.  Soft Skills (Essential):  Excellent verbal and written communication skills. Excellent interpersonal skills and be able to quickly understand and retain knowledge of business processes and the technology systems. Ability to handle high pressure, complex environments. Energetic and highly self-motivated. Build positive working relationships with external teams and managing their expectations. Strong analytical skills to solve complex issues.Good in stakeholder management and able to multi-task  Technical Skills:  Experience with supporting OS (Windows, Linux), web servers (IIS, Apache), application servers (WebSphere, Tomcat). Strong Oracle, PL/SQL support experience Strong UNIX experience. Need to have ability to read and understand UNIX Shell scripts. Strong knowledge in scheduling tools like Control-M and Autosys Knowledge of monitoring tools like Geneos , App Dynamics, Splunk Hands-on experience in troubleshoot performance issue including analyzing heap/thread dumps. Experience creating automation tools via scripting in both Linux as well as Windows environment    Experience (Desirable)  Previous experience of Reference Data support will be preferable    Key skills  Individual should be a self-starter who is confident and highly motivated to succeed. A genuine desire to learn about the business process and products across a number of asset classes. Ability to comfortably use a number of different technologies to analytically resolve complex issues Ability to take ownership of a myriad of issues and see them through to resolution. Excellent interpersonal skills, team player, with an ability to remain calm under pressure. Ability to take ownership of an issue and see it through to resolution. Ability to prioritize work load, multi task and react quickly to meet business expectations.   Additional information  A flexible approach to working hours is required in order to cover the trading day.  There is a rota system in place to provide on-site support normally between 7:30am and 7:00pm. Out of hours support is a part of this role and as such this role extends to support production and batch monitoring, releases or maintenance of server processes where necessary on weekends on a rota basis.  Our Corporate Technology team relies on smart, driven people like you to develop applications and provide tech support for all our corporate functions across our network. Your efforts will touch lives all over the financial spectrum and across all our divisions: Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and within the Corporate Administrative Office. You’ll be part of a team specifically built to meet and exceed our evolving technology needs, as well as our technology controls agenda.   When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.  At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.    We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers.   A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180066358/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan  "
7,"JPMORGAN CHASE BANK, N.A.","CyberSecurity Business Resiliency Analyst and Coordinator, Vice President",NONE,Full Time,Executive,Information Technology,"$7,500to$15,000","Roles & ResponsibilitiesWorking in Cybersecurity takes pure passion for technology, speed, a constant desire to learn, and above all, vigilance in keeping every last asset safe and sound. You’ll be on the front lines of innovation, working with a highly-motivated team laser-focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products and emerging industry trends. Working in tandem with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop adversaries and strengthen our data.  Within Cybersecurity & Technology Controls, the Production Management team seeks a Hygiene and Resiliency Metrics Analyst, responsible to support the Resiliency Manager by acting as the day-to-day point of contact for hygiene and metrics as related to resiliency and recovery.  This role reports to the Cyber Security & Technology Controls Resiliency Manager and is primarily responsible to ensure that application Hygiene meets the firm’s policies. Hygiene, is defined as life cycle (OS, Hardware, all component software stacks), patching, backup compliance, CAF (Critical Application Framework) policy requirements.  This role will require interaction with the various teams for remediation of hygiene breaks and being the point of contact for hygiene metrics.  This position is anticipated to require the use of one or more High Security Access (HSA) systems. Users of these systems are subject to enhanced screening which includes both criminal and credit background checks, and/or other enhanced screening at the time of accepting the position and on an annual basis thereafter. The enhanced screening will need to be successfully completed prior to commencing employment or assignment.  Responsibilities will include: Resiliency • Develop and manage Business Continuity/Disaster Recovery, Resiliency and Crisis Management plans for the Cybersecurity & Technology Controls organization. • Maintain and communicate the Continuity Planning and Technology Recovery Testing schedules for Cybersecurity & Technology Controls applications. • Drive Business Recovery Strategy testing compliance. • Maintain and monitor the Resiliency Data Management System (RDMS) to ensure ITRC breaks and remedies are generated for non-compliance. Create, review and update the business impact analysis (BIA) and business continuity plans (BCP). • Global Enterprise Notification Tool (GENT) administrator, responsible for business notification testing via GENT tool and initiating ad-hoc GENT notifications as required. • Cybersecurity & Technology Controls LOB representative for the Regional Crisis Management Team (RCMT). • Provide Monthly Cybersecurity business resiliency reporting to the Global Business Resiliency (GBR) team, technology resiliency metrics for Cybersecurity GTOC and BCC meetings. • Partner with Cybersecurity Technology team to ensure compliance with business technology standards (approved Technology Recovery Plans (TRP) and Disaster/Recovery (DR) testing). • Resiliency & Recovery Product Lead provide guidance on standards, metrics and procedures.  Inter-Affiliate Services (IAS) • Represent Cybersecurity at all GT IAS meetings. • Contact for Cybersecurity IAS identified issues and action plans. • Reporting IAS metrics for Cybersecurity GTOC and BCC meetings.  Third Party Management Office (TPMO)/Supplier Management • Represent Cybersecurity at all TPMO and Supplier Management meetings • Attend weekly COMPASS call for new Cybersecurity engagements • Work with Delivery Managers to ensure remediation plan target dates are met • Reporting TPMO and Supplier Management metrics for Cybersecurity GTOC and BCC meetings.  ","Requirements• Bachelors’ degree in computer science, information systems or related field; advanced degree preferred • 8+ years of overall IT experience preferred. • 7+ years of technology experience, ideally including experience in the Financial Services and Cybersecurity or related fields. • Outstanding verbal, interpersonal and written communication and presentation skills, including demonstrated ability to interact with both technical and non-technical stakeholders • Strong organizational and time management skills; ability to manage multiple and conflicting priorities in a global organization, and to adapt in a fast-paced environment   Technical experience: • 5+ years of Technology Resiliency experience (BC/DR, Incident Management) • Expert knowledge of MS-Excel, MS-Power Point, • Technology program management, project management experience • Data Analysis, Validation, Testing, and Reporting experience • Certified Business Continuity Professional (CBCP), Certified in Risk and Information Systems Control(CRISC) or related is preferred   We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers.   A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180044948/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan  "
8,Company Undisclosed,Software Engineer (Ref 21711),NONE,"Contract, Full Time",Executive,Information Technology,"$2,500to$5,000","Roles & Responsibilities- Research and development suite of multimedia analytics software products for continuous enhancement and upgrade of products to meet the market demand and cope with the IT technology advancement. - Provide support services for system, multimedia analytics software and other 3rd party Commercial-Off-The-Shell software and database installation, configuration, testing, performance tuning, problem investigation and resolution, etc, to ensure smooth and on-time delivery of projects with good products performance and customer satisfaction. - Prepare and conduct multimedia analytics software benchmark tests and POC/Trial projects with excellent performance to showcase products superiority in the competitive market place.  - Prepare training, demonstration tools and presentation materials for conducting training, products presentation and demonstration to customers and promotion of multimedia analytics products.","Requirements- Degree in Computer Science/Information Technology or equivalent with 2-3 years’ experience in software development. - Preferred skill(s): Windows and Linux OS, VMware, .Net Development Platform, C/C++, Java, Machine Learning, IP Cameras, ONVIF, Oracle, MS SQL and MySQL Database,  Web services, XML/SOAP, REST API, etc. - Good technical documentation skill in creation/edit of technical document such as design specification, operation and user guide, etc. - Very good verbal/written skills. - Keen interest in analytics and photography. - Positive hands-on attitude with an aptitude to learning.   Licence No: 12C6060"
9,FINSURGE PTE. LTD.,Murex Technical Migration Consultant,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",Permanent,"Middle Management, Professional",Information Technology,"$4,000to$7,000","Roles & ResponsibilitiesFinSurge is undertaking a major multi-year Murex upgrade programme with the objective of replacing Murex 2.11 system with Murex 3.1 with a new Front to back platform for treasury businesses. The key elements of the programme are: ·       Migrating existing trades ·       Keep the functionalities intact ·       Automate the existing process ·       Improve and optimize the existing process ·       Improve and optimize the migration process   The Murex Migration Business Analyst will assist in delivering this programme by : ·       Create/ update/ socialize a Gap analysis between existing processes and target processes based on Murex Operating Model. ·       Create /update/Socialize the conversion mapping document based on the migration strategy agreed with Front to back stakeholders ·       Configuring/ optimizing pre-trade rules, simulation views, booking layouts, generators, confirmation templates confirmation & Settlement workflows ·       Build strong, effective relationships with front to back business and technology stakeholders ·       Defining the test cases and coordinate testing execution for assigned scope ·       Identify/ Socialize/ Drive mitigation of data quality concerns (Market data/ trade data/Finance and non finance static data) ·       Define/drive optimization of migration and reconciliation tools.","RequirementsMust Have:   Hands on experience in migration activities of a front to back programme in Banking or large corporate treasury Hands on experience in technical configurations, configuring Murex Settlement & confirmation modules AND/ OR Front Office modules Ability to work proactively, independently when necessary and displays strong initiative. Multicultural awareness. Strong communication and presentation skills, with an excellent standard of English (written and spoken). Excellent team player    Preferred:   Experience on Pricing, P&L, Market data and Financial static data Experience on GOM definition, Datamart and MXML development Query: SQL/PLSQL/Hibernate SQL Exposure to Messaging: XML/FPML Exposure to Unix/Shell Scripting Displays personal authority, integrity and ethics. "
